pad;m_sg;m_du;m_pl;n_sg;n_du;n_pl;f_sg;f_du;f_pl;pad_san;pad_cz;otazka;vyznam;clen;sl_druh
N;aḥ;au;áḥ;aṃ;é;áni;á;é;áḥ;1;1;kdo, co;;podmět;
Ak;aṃ;au;án;aṃ;é;áni;áṃ;é;áḥ;2;4;koho, co;směr, cíl;předmět;příslovce
I;éna;ábhjáṃ;aiḥ;éna;ábhjáṃ;aiḥ;ajá;ábhjáṃ;ábhiḥ;3;7;(s) kým, čím;;prostředek, nástroj;příslovce
D;ája;ábhjáṃ;ébhjaḥ;ája;ábhjáṃ;ébhjaḥ;ájai;ábhjáṃ;ábhjaḥ;4;3;(ke) komu, čemu;;účel;
Abl;át;ábhjáṃ;ébhjaḥ;át;ábhjáṃ;ébhjaḥ;ájáḥ;ábhjáṃ;ábhjaḥ;5;;(od) koho, čeho;odkud;příčina;
G;asja;ajóḥ;ánáṃ;asja;ajóḥ;ánáṃ;ájáḥ;ajóḥ;ánáṃ;6;2;(bez) koho, čeho;čí;;
L;é;ajóḥ;éṣu;é;ajóḥ;éṣu;ájáṃ;ajóḥ;ásu;7;6;(v/na/o) kom, čem;(u) koho, čeho;;
V;a;au;áḥ;aṃ;é;áni;é;é;áḥ;8;5;oslovení;zvolání;;
