cz;ot1;pad1_sa;pad1_cz;ot2;pad2_sa;pad2_cz;pada;aktivita;tran_kmen;tran_prezens_3sg;tran_ppp;dev_kmen;dev_prezens_3sg;dev_ppp
probudit;se;;;;;;parasmai;aktivum;budh-;bódhati;buddha;बुध्;बोधति;बुद्ध
porozumnět;;;;;;;parasmai;aktivum;budh-;bódhati;buddha;बुध्;बोधति;बुद्ध
psát;co;Ak;;;;;parasmai;aktivum;likh-;likhati;likhita;लिख्;लिखति;लिखित
hanit;koho;Ak;;;;;parasmai;aktivum;nind-;nindati;nindita;निन्द्;निन्दति;निन्दित
dobírat;si koho;Ak;;;;;parasmai;aktivum;nind-;nindati;nindita;निन्द्;निन्दति;निन्दित
kárat;koho;Ak;;;;;parasmai;aktivum;nind-;nindati;nindita;निन्द्;निन्दति;निन्दित
utišit;co;Ak;;;;;parasmai;aktivum;śám-;śámjati;śánta;शाम;शाम्यति;शान्त
dát 2;;;;;;;parasmai;aktivum;dá-;dadáti;datta;दा;ददाति;दत्त
hněvat;se na koho;D/G;;;;;parasmai;aktivum;krudh-;krudhjati;kruddha;क्रुध्;क्रुध्यति;क्रुद्ध
usilovat;oč;D;;;;;átmané;médium;džat-;džataté;džata;यत्;यतते;यत
vést;směřovat k čemu;D;;;;;átmané;médium;kḷp-;kalpaté;kḷpta;कॢप्;कल्पते;कल्प्त कॢप्त
líbit;se komu;D;;;;;átmané;médium;ruč-;róčaté;ručita;रुच्;रोचते;रुचित
odpustit;co;Ak;;komu;D/G;;átmané;médium;kṣam-;kṣamaté;kṣamita / kṣánta;क्षम्;क्षमते;क्षमित / क्षान्त
rmoutit, strádám, trápím se, vadnu;se čím;Abl.;;;;;parasmai;aktivum;tam-;támjati;tánta;तम्;ताम्यति;तान्त
mít;;;;;;;parasmai;aktivum;snih-;snihjati;snigdha / sníḍa;स्निह्;स्निह्यति;स्निग्ध / स्नीढ
vynikat;mezi kým;L;;;;;átmané;médium;śubh-,;śóbhaté;śóbhita;शुभ्;शोभते;शोभित
lpět;na čem;L;;;;;parasmai;aktivum;sadž-;sadžati;sakta ?;सज्;सजति;सक्त ?
mít;rád koho,co;D/L;;;;;parasmai;aktivum;lubh-;lubhjati;lubhita ?;लुभ्;लुभ्यति;लुभित ?
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
